"","st","countyid","county_name","fcc_broadband","usage"
"1","AL","001","Autauga County","0.8057","0.391"
"2","AL","003","Baldwin County","0.8362","0.452"
"3","AL","005","Barbour County","0.6891","0.324"
"4","AL","007","Bibb County","0.3368","0.136"
"5","AL","009","Blount County","0.758","0.199"
"6","AL","011","Bullock County","0.9363","0.157"
"7","AL","013","Butler County","0.6814","0.183"
"8","AL","015","Calhoun County","0.9298","0.419"
"9","AL","017","Chambers County","0.8453","0.501"
"10","AL","019","Cherokee County","0.9892","0.125"
"11","AL","021","Chilton County","0.6345","0.104"
"12","AL","023","Choctaw County","0.2147","0.035"
"13","AL","025","Clarke County","0.5585","0.092"
"14","AL","027","Clay County","0.4291","0.081"
"15","AL","029","Cleburne County","0.1731","0.1"
"16","AL","031","Coffee County","0.913","0.531"
"17","AL","033","Colbert County","0.8405","0.39"
"18","AL","035","Conecuh County","0.4422","0.067"
"19","AL","037","Coosa County","0.7828","0.095"
"20","AL","039","Covington County","0.8336","0.366"
"21","AL","041","Crenshaw County","0.729","0.196"
"22","AL","043","Cullman County","0.7835","0.364"
"23","AL","045","Dale County","0.9479","0.351"
"24","AL","047","Dallas County","0.7637","0.249"
"25","AL","049","DeKalb County","0.9883","0.402"
"26","AL","051","Elmore County","0.9268","0.509"
"27","AL","053","Escambia County","0.7474","0.243"
"28","AL","055","Etowah County","0.9514","0.404"
"29","AL","057","Fayette County","0.1989","0.077"
"30","AL","059","Franklin County","0.6604","0.111"
"31","AL","061","Geneva County","0.5956","0.176"
"32","AL","063","Greene County","0.0085","0.013"
"33","AL","065","Hale County","0.5144","0.095"
"34","AL","067","Henry County","0.6405","0.107"
"35","AL","069","Houston County","0.8734","0.54"
"36","AL","071","Jackson County","0.9643","0.419"
"37","AL","073","Jefferson County","0.9906","0.532"
"38","AL","075","Lamar County","0.4309","0.095"
"39","AL","077","Lauderdale County","0.8173","0.36"
"40","AL","079","Lawrence County","0.5525","0.09"
"41","AL","081","Lee County","0.9631","0.59"
"42","AL","083","Limestone County","0.9079","0.555"
"43","AL","085","Lowndes County","0.1441","0.063"
"44","AL","087","Macon County","0.6502","0.114"
"45","AL","089","Madison County","0.9644","0.747"
"46","AL","091","Marengo County","0.1696","0.08"
"47","AL","093","Marion County","0.8241","0.315"
"48","AL","095","Marshall County","0.9598","0.561"
"49","AL","097","Mobile County","0.935","0.506"
"50","AL","099","Monroe County","0.8964","0.243"
"51","AL","101","Montgomery County","0.9749","0.637"
"52","AL","103","Morgan County","0.9167","0.589"
"53","AL","105","Perry County","0.0012","0.032"
"54","AL","107","Pickens County","0.5724","0.11"
"55","AL","109","Pike County","0.9254","0.354"
"56","AL","111","Randolph County","0.6422","0.161"
"57","AL","113","Russell County","0.8929","0.402"
"58","AL","115","St. Clair County","0.8901","0.361"
"59","AL","117","Shelby County","0.9546","0.589"
"60","AL","119","Sumter County","0.4666","0.13"
"61","AL","121","Talladega County","0.8121","0.361"
"62","AL","123","Tallapoosa County","0.9169","0.736"
"63","AL","125","Tuscaloosa County","0.9228","0.487"
"64","AL","127","Walker County","0.7725","0.306"
"65","AL","129","Washington County","0.3114","0.045"
"66","AL","131","Wilcox County","0.4144","0.098"
"67","AL","133","Winston County","0.6272","0.15"
"68","AK","013","Aleutians East Borough"," -   ","0.066"
"69","AK","016","Aleutians West Census Area"," -   ","0.023"
"70","AK","020","Anchorage Municipality","0.9969","0.753"
"71","AK","050","Bethel Census Area"," -   ","0.05"
"72","AK","060","Bristol Bay Borough"," -   ","0.054"
"73","AK","068","Denali Borough","0.5536","0.133"
"74","AK","070","Dillingham Census Area"," -   ","0.052"
"75","AK","090","Fairbanks North Star Borough","0.896","0.507"
"76","AK","100","Haines Borough","0.9186","0.089"
"77","AK","105","Hoonah-Angoon Census Area","0.25","0.203"
"78","AK","110","Juneau City and Borough","0.9927","0.571"
"79","AK","122","Kenai Peninsula Borough","0.975","0.365"
"80","AK","130","Ketchikan Gateway Borough","0.9894","0.867"
"81","AK","150","Kodiak Island Borough","0.8591","0.389"
"82","AK","164","Lake and Peninsula Borough"," -   ","0.161"
"83","AK","170","Matanuska-Susitna Borough","0.9389","0.481"
