"","st","county_name","countyid","postal_code","broadband_usage"
"1","SC","Abbeville","45001",29639,0.948
"2","SC","Abbeville","45001",29620,0.398
"3","SC","Abbeville","45001",29659,0.206
"4","SC","Abbeville","45001",29638,0.369
"5","SC","Abbeville","45001",29628,0.221
"6","LA","Acadia Parish","22001",70516,0.032
"7","LA","Acadia Parish","22001",70559,0.091
"8","LA","Acadia Parish","22001",70531,0.053
"9","LA","Acadia Parish","22001",70578,0.201
"10","LA","Acadia Parish","22001",70537,0.181
"11","LA","Acadia Parish","22001",70543,0.068
"12","LA","Acadia Parish","22001",70556,0.139
"13","LA","Acadia Parish","22001",70534,0.083
"14","LA","Acadia Parish","22001",70525,0.138
"15","LA","Acadia Parish","22001",70526,0.381
"16","VA","Accomack","51001",23306,0.082
"17","VA","Accomack","51001",23337,0.122
"18","VA","Accomack","51001",23395,0
"19","VA","Accomack","51001",23336,1
"20","VA","Accomack","51001",23442,0.322
"21","VA","Accomack","51001",23480,0
"22","VA","Accomack","51001",23440,0
"23","VA","Accomack","51001",23359,0.042
"24","VA","Accomack","51001",23426,0.187
"25","VA","Accomack","51001",23421,0.068
"26","VA","Accomack","51001",23410,0.036
"27","VA","Accomack","51001",23422,0.02
"28","VA","Accomack","51001",23357,0
"29","VA","Accomack","51001",23303,0.065
"30","VA","Accomack","51001",23302,0
"31","VA","Accomack","51001",23488,0.028
"32","VA","Accomack","51001",23416,0
"33","VA","Accomack","51001",23420,0.042
"34","VA","Accomack","51001",23441,0.362
"35","VA","Accomack","51001",23417,0.081
"36","VA","Accomack","51001",23308,0.011
"37","VA","Accomack","51001",23407,0.035
"38","VA","Accomack","51001",23358,0.207
"39","VA","Accomack","51001",23301,0.247
"40","VA","Accomack","51001",23415,0.016
"41","VA","Accomack","51001",23414,0
"42","VA","Accomack","51001",23423,0
"43","VA","Accomack","51001",23418,0.278
"44","VA","Accomack","51001",23389,0.342
"45","VA","Accomack","51001",23409,0.619
"46","VA","Accomack","51001",23427,0
"47","VA","Accomack","51001",23401,0.008
"48","VA","Accomack","51001",23356,0.04
"49","ID","Ada","16001",83616,0.965
"50","ID","Ada","16001",83714,0.433
"51","ID","Ada","16001",83702,1
"52","ID","Ada","16001",83642,0.957
"53","ID","Ada","16001",83634,0.657
"54","ID","Ada","16001",83669,1
"55","ID","Ada","16001",83704,0.888
"56","ID","Ada","16001",83713,0.663
"57","ID","Ada","16001",83646,1
"58","ID","Ada","16001",83709,1
"59","ID","Ada","16001",83716,0.336
"60","ID","Ada","16001",83703,0.984
"61","ID","Ada","16001",83712,0.405
"62","ID","Ada","16001",83705,0.84
"63","ID","Ada","16001",83706,0.961
"64","IA","Adair","19001",50846,0.12
"65","IA","Adair","19001",50002,0.114
"66","IA","Adair","19001",50849,0.29
"67","IA","Adair","19001",50858,0.146
"68","IA","Adair","19001",50837,0
"69","KY","Adair","21001",42715,0.307
"70","KY","Adair","21001",42741,1
"71","KY","Adair","21001",42728,0.305
"72","KY","Adair","21001",42753,0.019
"73","MO","Adair","29001",63501,0.543
"74","MO","Adair","29001",63546,0.081
"75","MO","Adair","29001",63540,0
"76","MO","Adair","29001",63533,0
"77","MO","Adair","29001",63559,0.233
"78","OK","Adair","40001",74931,0.292
"79","OK","Adair","40001",74960,0.311
"80","OK","Adair","40001",74964,0.162
"81","OK","Adair","40001",74457,0.086
"82","OK","Adair","40001",74965,0.415
"83","CO","Adams","8001",80022,1
"84","CO","Adams","8001",80602,0.949
"85","CO","Adams","8001",80136,0.441
"86","CO","Adams","8001",80233,1
"87","CO","Adams","8001",80045,0.56
"88","CO","Adams","8001",80221,1
"89","CO","Adams","8001",80241,0.624
"90","CO","Adams","8001",80031,1
"91","CO","Adams","8001",80234,0.988
"92","CO","Adams","8001",80260,0.692
"93","CO","Adams","8001",80024,0.083
"94","CO","Adams","8001",80601,1
"95","CO","Adams","8001",80019,0.812
"96","CO","Adams","8001",80030,0.993
"97","CO","Adams","8001",80102,0.67
"98","CO","Adams","8001",80229,0.897
"99","CO","Adams","8001",80640,0.906
"100","IA","Adams","19003",50839,0
"101","IA","Adams","19003",50841,0.231
"102","IA","Adams","19003",50857,0.153
"103","IA","Adams","19003",50859,0.058
"104","ID","Adams","16003",83612,0.141
"105","ID","Adams","16003",83632,0
"106","ID","Adams","16003",83643,0
"107","ID","Adams","16003",83654,0.042
